day,PAR
1,0
2,0
3,0
4,0.001130253
5,0
6,0.007680456
7,0.006062471
8,0.000910255
9,0
10,0.00049616
11,0.011034498
12,0.000445367
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0.000173025
24,0
25,0.000272212
26,0
27,0.000380917
28,0.00028228
29,0.000771031
30,0.000219957
31,0
32,0
33,0
34,0.000571375
35,0
36,0
37,0.000499558
38,0
39,0
40,0.000940933
41,0.001336086
42,0.000166906
43,0.016180975
44,0.008799215
45,0.016067506
46,0.043487261
47,0.014507212
48,0.032665431
49,0.076328081
50,0.0443667
51,0.096583456
52,0.096826776
53,0.083724629
54,0.140645849
55,0.168720186
56,0.155190473
57,0.240360347
58,0.273837321
59,0.337588369
60,0.238058455
61,0.287184791
62,0.365473165
63,0.376614323
64,0.462017899
65,0.446052837
66,0.421799131
67,0.542846378
68,0.518001875
69,0.672632628
70,0.784326922
71,0.97152949
72,0.830172834
73,0.937205337
74,1.200097614
75,1.109505992
76,1.407238853
77,1.486063831
78,1.714614755
79,1.601687805
80,1.746261859
81,1.445683951
82,1.466316688
83,1.965004923
84,2.051712939
85,2.487246513
86,1.585416687
87,1.980018435
88,2.274797282
89,2.335131617
90,2.105487581
91,2.420093559
92,3.00673561
93,3.241006188
94,2.7509305
95,2.907683465
96,3.775848976
97,4.430348901
98,3.738718488
99,5.449416084
100,4.335860818
101,3.639720876
102,3.749122759
103,4.128099123
104,3.530777214
105,4.564146732
106,5.010608314
107,5.297000717
108,5.505139255
109,5.314851787
110,4.43991201
111,5.265342074
112,5.006862033
113,4.094492419
114,4.558975418
115,3.198152347
116,3.126398302
117,4.388067494
118,5.054221384
119,5.777060882
120,6.547143944
121,8.131082773
122,8.246323859
123,6.140289124
124,5.895722909
125,8.69868166
126,10.34143193
127,9.411169103
128,6.285724989
129,6.459758831
130,7.029769822
131,7.976269788
132,10.38593787
133,7.511834474
134,8.03473978
135,7.192127614
136,8.939909944
137,9.00375863
138,12.76142072
139,10.73036269
140,8.083817741
141,13.67774268
142,17.78154017
143,13.66906231
144,13.67544409
145,22.6344338
146,18.1957282
147,20.38551875
148,22.87799026
149,15.85830673
150,9.649351277
151,12.27705731
152,35.55930266
153,36.60192037
154,19.429889
155,25.50333569
156,26.03435657
157,57.14558364
158,54.50170846
159,62.1562913
160,43.0678473
161,57.46414602
162,55.74033917
163,71.22608914
164,49.51843059
165,51.93516955
166,86.95898245
167,59.79876269
168,81.83184582
169,64.94155019
170,52.59514568
171,91.80987757
172,67.86904592
173,80.01963106
174,47.21154978
175,45.48433765
176,73.0058318
177,60.26416667
178,94.82875
179,110.4104167
180,77.71291667
181,36.08041667
182,22.02708333
183,52.42541667
184,98.58916667
185,61.31583333
186,36.69375
187,43.18583333
188,45.03375
189,51.74833333
190,40.26958333
191,82.5875
192,70.3125
193,124.4354167
194,145.385
195,143.6375
196,69.33
197,81.62333333
198,105.9466667
199,96.2225
200,125.8975
201,21.55666667
202,36.7725
203,29.20625
204,51.00458333
205,49.38625
206,44.22291667
207,95.72875
208,115.0958333
209,36.27875
210,26.55125
211,25.55416667
212,33.24208333
213,29.83791667
214,41.96541667
215,109.76
216,64.38791667
217,48.43458333
218,55.42916667
219,32.30416667
220,24.33416667
221,81.13375
222,54.62333333
223,30.45304348
224,63.02083333
225,37.64
226,21.03833333
227,26.78147086
228,20.38
229,40.37416667
230,26.15541667
231,63.57208333
232,27.12041667
233,28.37833333
234,48.16041667
235,34.43583333
236,29.6625
237,39.80166667
238,17.43083333
239,34.3075
240,29.245
241,30.11458333
242,57.72458333
243,55.57291667
244,16.93416667
245,16.47791667
246,28.32166667
247,22.15125
248,17.9475
249,12.5675
250,27.47666667
251,14.44695652
252,18.71958333
253,27.55708333
254,20.70375
255,10.20041667
256,9.931666667
257,11.57996887
258,30.05458333
259,25.97375
260,23.77208333
261,8.652083333
262,21.43833333
263,16.29708333
264,18.26833333
265,17.8925
266,16.42166667
267,10.49
268,14.48375
269,12.65225601
270,8.941269443
271,7.393759684
272,3.578542018
273,4.516642324
274,3.808933101
275,2.603868053
276,3.609278919
277,4.084151935
278,3.816673685
279,3.872475323
280,3.381963475
281,2.857501545
282,2.492235964
283,2.592927019
284,1.231957553
285,2.303452858
286,1.492401269
287,1.166322041
288,1.501085188
289,0.874974191
290,0.868905735
291,0.924989528
292,0.756399212
293,0.368248391
294,0.350573063
295,0.278672636
296,0.269624113
297,0.148347978
298,0.125969259
299,0.025227107
300,0.009323651
301,0.042811294
302,0.002605125
303,0.026684042
304,0.021498225
305,0.007499916
306,0
307,0.009341982
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0.001041113
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0.000359759
326,0.004695408
327,0
328,0.000205262
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0.001289741
351,0.000400788
352,0.000478616
353,0
354,0.001653867
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
